,pv
1186,3.0305555555555554
1187,3.8125
1188,3.923611111111111
1189,5.680555555555555
1190,4.895833333333333
1191,4.020833333333333
1192,1.8958333333333333
1193,0.34694444444444444
1194,0.0
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,0.0
1207,0.10080555555555555
1208,0.7180555555555556
1209,0.9715277777777778
1210,1.2131944444444445
1211,1.0638888888888889
1212,0.8534722222222222
1213,1.479861111111111
1214,1.1166666666666667
1215,0.44166666666666665
1216,0.4173611111111111
1217,0.1126111111111111
1218,0.0
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.004833333333333333
1231,0.1954861111111111
1232,0.5493055555555556
1233,0.5819444444444445
1234,1.3465277777777778
1235,1.7270833333333333
1236,1.2270833333333333
1237,2.5236111111111112
1238,2.7319444444444443
1239,1.5090277777777779
1240,0.6611111111111111
1241,0.12256944444444444
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.6719444444444445
1256,2.1625
1257,3.9791666666666665
1258,5.555555555555555
1259,3.9791666666666665
1260,7.409722222222222
1261,4.118055555555555
1262,4.388888888888889
1263,2.035416666666667
1264,0.6013888888888889
1265,0.19618055555555555
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,0.006145833333333333
1279,0.4245833333333333
1280,0.9944444444444445
1281,1.8611111111111112
1282,2.8256944444444443
1283,4.25
1284,4.777777777777778
1285,5.833333333333333
1286,5.138888888888889
1287,3.638888888888889
1288,1.6034722222222222
1289,0.24965277777777778
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.007361111111111111
1303,0.5675
1304,2.1972222222222224
1305,3.236111111111111
1306,5.208333333333333
1307,3.8194444444444446
1308,2.6194444444444445
1309,3.7291666666666665
1310,2.3222222222222224
1311,1.9527777777777777
1312,1.1791666666666667
1313,0.40631944444444446
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,0.01326388888888889
1327,0.6420138888888889
1328,2.3868055555555556
1329,4.1875
1330,5.8125
1331,6.951388888888889
1332,7.243055555555555
1333,6.395833333333333
1334,5.291666666666667
1335,3.627083333333333
1336,1.4125
1337,0.21166666666666667
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,0.02798611111111111
1351,0.8520833333333333
1352,2.7625
1353,4.611111111111111
1354,5.701388888888889
1355,5.048611111111111
1356,5.777777777777778
1357,4.5
1358,4.534722222222222
1359,3.6597222222222223
1360,1.6118055555555555
1361,0.34902777777777777
1362,0.0
1363,0.0
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1371,0.0
1372,0.0
1373,0.0
1374,0.024791666666666667
1375,0.7576388888888889
1376,2.436111111111111
1377,3.9930555555555554
1378,5.666666666666667
1379,6.791666666666667
1380,6.666666666666667
1381,5.965277777777778
1382,4.777777777777778
1383,2.6486111111111112
1384,1.725
1385,0.3259722222222222
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.0
1398,0.027708333333333335
1399,0.36666666666666664
1400,1.1194444444444445
1401,1.3902777777777777
1402,3.2506944444444446
1403,2.9875
1404,5.902777777777778
1405,5.340277777777778
1406,4.951388888888889
1407,3.875
1408,1.9944444444444445
1409,0.47256944444444443
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,0.045625
1423,0.9465277777777777
1424,2.8055555555555554
1425,4.25
1426,5.354166666666667
1427,7.027777777777778
1428,6.777777777777778
1429,6.701388888888889
1430,5.319444444444445
1431,3.625
1432,2.3319444444444444
1433,0.5735416666666666
1434,0.0
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,0.03715277777777778
1447,0.8215277777777777
1448,2.6875
1449,4.666666666666667
1450,6.298611111111111
1451,7.3125
1452,7.590277777777778
1453,7.152777777777778
1454,6.006944444444445
1455,4.236111111111111
1456,2.201388888888889
1457,0.47375
1458,0.0
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,0.027777777777777776
1471,0.7604861111111111
1472,2.5381944444444446
1473,4.409722222222222
1474,6.048611111111111
1475,7.0625
1476,7.326388888888889
1477,6.902777777777778
1478,5.729166666666667
1479,4.006944444444445
1480,2.032638888888889
1481,0.39993055555555557
1482,0.0
1483,0.0
1484,0.0
1485,0.0
1486,0.0
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.0
1493,0.0
1494,0.04631944444444445
1495,0.9604166666666667
1496,2.904166666666667
1497,4.875
1498,6.375
1499,7.263888888888889
1500,7.493055555555555
1501,6.993055555555555
1502,5.875
1503,3.7840277777777778
1504,0.9006944444444445
1505,0.34770833333333334
1506,0.002861111111111111
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.004923611111111111
1519,0.31666666666666665
1520,0.6034722222222222
1521,1.3381944444444445
1522,1.4166666666666667
1523,1.2986111111111112
1524,1.2777777777777777
1525,0.8458333333333333
1526,1.3666666666666667
1527,0.9868055555555556
1528,1.1840277777777777
1529,0.27090277777777777
1530,0.004875
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.051597222222222225
1543,0.23833333333333334
1544,0.7118055555555556
1545,0.6430555555555556
1546,2.0215277777777776
1547,1.2402777777777778
1548,0.7965277777777777
1549,1.582638888888889
1550,3.2576388888888888
1551,1.488888888888889
1552,0.46041666666666664
1553,0.12226388888888888
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.04513888888888889
1567,0.31333333333333335
1568,0.9479166666666666
1569,2.7666666666666666
1570,5.722222222222222
1571,6.333333333333333
1572,6.618055555555555
1573,5.729166666666667
1574,5.618055555555555
1575,4.111111111111111
1576,2.157638888888889
1577,0.48409722222222223
1578,0.005347222222222222
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.035833333333333335
1591,0.8011805555555556
1592,2.4930555555555554
1593,3.9722222222222223
1594,3.4305555555555554
1595,2.334722222222222
1596,3.0569444444444445
1597,0.8451388888888889
1598,0.7270833333333333
1599,0.8958333333333334
1600,0.3902777777777778
1601,0.16916666666666666
1602,0.009722222222222222
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.06923611111111111
1615,0.33402777777777776
1616,0.4826388888888889
1617,2.095138888888889
